,user_id,item_id,item_name,playtime_forever
189,AVATAR715,228280,Baldur's Gate: Enhanced Edition,905.0
190,76561198073987767,212070,Star Conflict,0.0
191,Fluxxyz,218230,PlanetSide 2,51.0
192,76561198092150873,236390,War Thunder,50.0
193,YieuwMage,3483,Peggle Extreme,0.0
194,76561198078752187,203160,Tomb Raider,0.0
195,Nfkted_CS,227080,Papo & Yo,81.0
196,A-Very-Sly-Person,233450,Prison Architect,24.0
197,76561198211054671,43160,Metro: Last Light,712.0
198,76561197994493402,219740,Don't Starve,139.0
199,Koolcaz12,322330,Don't Starve Together,0.0
200,76561198065656175,222730,Reus,319.0
201,76561198188979775,241600,Rogue Legacy,73.0
202,97396295,238930,"7 Grand Steps, Step 1: What Ancients Begat",159.0
203,M1ss_P1nk,217140,Rise of the Triad,199.0
204,xoFushiox,39140,FINAL FANTASY VII,2896.0
205,76561198126640317,225080,Brothers - A Tale of Two Sons,0.0
206,DemonicWolvz,239030,"Papers, Please",194.0
207,DieMadchenschanderin,248820,Risk of Rain,272.0
208,76561198052784112,239350,Spelunky,458.0
209,76561198072706529,218620,PAYDAY 2,574.0
210,76561198215949741,206420,Saints Row IV,0.0
211,GGargula,236850,Europa Universalis IV,89.0
212,Myther43,47790,Medal of Honor(TM) Single Player,230.0
213,getf0kinn0sc0pedm9,47830,Medal of Honor(TM) Multiplayer,0.0
214,76561198141443390,250320,The Wolf Among Us,500.0
215,76561198031924053,250900,The Binding of Isaac: Rebirth,329.0
216,76561198097333029,204450,Call of Juarez Gunslinger,241.0
217,dominiclim99,233270,Far Cry® 3 Blood Dragon,0.0
218,whodafuqisthisguilao,251990,Long Live The Queen,135.0
219,76561198072205329,253980,Enclave,0.0
220,Icamebackbitches,236450,PAC-MAN Championship Edition DX+,154.0
221,Magjiikal,242050,Assassin's Creed IV Black Flag,1377.0
222,ohnospaghet,257350,Baldur's Gate II: Enhanced Edition,0.0
223,76561198060062487,213670,South Park™: The Stick of Truth™,121.0
224,76561198050347115,238010,Deus Ex: Human Revolution - Director's Cut,2176.0
225,2768820078,245470,Democracy 3,246.0
226,76561198049968536,221910,The Stanley Parable,157.0
227,76561198056392326,260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,467.0
228,2d4nk4m3,238430,Contagion,77.0
229,76561198074003102,261030,The Walking Dead: Season Two,567.0
230,76561198078478151,261570,Ori and the Blind Forest,39.0
231,exiaez,263980,Out There Somewhere,0.0
232,BURNINGchicken3,39150,FINAL FANTASY VIII,15.0
233,76561198066835162,230230,Divinity: Original Sin (Classic),522.0
234,76561198069593452,373420,Divinity: Original Sin Enhanced Edition,0.0
235,undietaker,232790,Broken Age,216.0
236,76561198095921854,237990,The Banner Saga,19.0
237,EizanAratoFujimaki,273620,Freespace 2,848.0
238,POOTISSPENSOR,222880,Insurgency,3031.0
239,angorabug,225840,Sven Co-op,26.0
240,TeCool,222900,Dead Island: Epidemic,0.0
241,ZyhgarThestarweaver,280220,Creeper World 3: Arc Eternal,941.0
242,2xDelorean,236430,DARK SOULS™ II,592.0
243,washington_,201810,Wolfenstein: The New Order,599.0
244,jewxxl,294860,Valkyria Chronicles™,1735.0
245,76561198088944293,295690,PARTICLE MACE,0.0
246,76561198092540221,238460,BattleBlock Theater,407.0
247,76561198061769804,237930,Transistor,154.0
248,76561198061475436,301480,GEARCRACK Arena,0.0
249,76561198051258119,303390,Dead Bits,0.0
250,76561198065771371,306660,Ultimate General: Gettysburg,1245.0
251,nubquake123,316790,Grim Fandango Remastered,42.0
252,Pyromanic,318430,Squishy the Suicidal Pig,0.0
253,76561198109656922,241930,Middle-earth: Shadow of Mordor,889.0
254,76561198149432604,328080,Retro-Pixel Castles,5.0
255,Unplanned_stategy,282070,This War of Mine,3.0
256,CobRazor,333930,Dirty Bomb,2782.0
257,relesprit,334120,Armikrog,109.0
258,76561198090294067,257510,The Talos Principle,0.0
259,jimmyarcexd,319630,Life Is Strange™,37.0
260,talove112345,346010,Besiege,464.0
261,76561198055094875,255710,Cities: Skylines,246.0
262,WitchHunter4542,232090,Killing Floor 2,6494.0
263,76561198203244300,232150,Killing Floor 2 - SDK,0.0
264,pwrt,377160,Fallout 4,2001.0
265,wantmahbody,340170,FINAL FANTASY TYPE-0 HD,170.0
266,76561198115868847,391540,Undertale,395.0
267,benedictcuminherbatch,396660,Tahira: Echoes of the Astral Empire,0.0
268,76561198031207016,337000,Deus Ex: Mankind Divided™,1159.0
269,76561198089077856,368230,Kingdom: Classic,83.0
270,76561198043458582,496300,Kingdom: New Lands,0.0
271,kerim77,231430,Company of Heroes 2,0.0
272,smashiroshh,289130,Endless Legend,593.0
273,shark854,268500,XCOM 2,1495.0
274,76561198062876401,461640,Sins Of The Demon RPG,0.0
275,76561198011661078,379720,DOOM,793.0
276,PabloSanches,273350,Evolve Stage 2,58.0
277,76561197991074667,10,Counter-Strike,0.0
278,killbunny38,80,Counter-Strike: Condition Zero,0.0
279,76561198047630659,100,Counter-Strike: Condition Zero Deleted Scenes,0.0
280,76561198069713121,300,Day of Defeat: Source,220.0
281,1997-07-06_J077,30,Day of Defeat,0.0
282,76561198076248461,40,Deathmatch Classic,0.0
283,1337lolroflmao,60,Ricochet,0.0
284,76561198080832419,240,Counter-Strike: Source,62.0
285,76561198151645088,280,Half-Life: Source,0.0
286,IAA_Recon_Dropbear,360,Half-Life Deathmatch: Source,0.0
287,sithjjf,320,Half-Life 2: Deathmatch,0.0
288,goonbagger,20,Team Fortress Classic,0.0
289,76561198060039459,50,Half-Life: Opposing Force,0.0
290,OzfurAtlas,70,Half-Life,0.0
291,76561198065593074,130,Half-Life: Blue Shift,0.0
292,madmax64,3910,Sid Meier's Civilization III: Complete,107.0
293,76561198044169764,3920,Sid Meier's Pirates!,0.0
294,euzi,4000,Garry's Mod,412.0
295,76561198074935997,6880,Just Cause,0.0
296,76561197961778802,2200,Quake III Arena,114.0
297,lucasrash,2270,Wolfenstein 3D,0.0
298,76561198016602703,2280,The Ultimate DOOM,0.0
299,76561198082845362,2290,Final DOOM,0.0
300,76561198087767019,2300,DOOM II: Hell on Earth,0.0
301,thisissohardtomakeoneup,2310,Quake,16.0
302,76561198087010391,2320,Quake II,0.0
303,76561198015747875,2330,Quake II: The Reckoning,0.0
304,66666669999999,2340,Quake II: Ground Zero,0.0
305,76561198061174192,2350,Quake III: Team Arena,0.0
306,DoaFapbeforeaNap,2360,HeXen: Beyond Heretic,0.0
307,ReMiXOfficalSteam,2370,HeXen: Deathkings of the Dark Citadel,0.0
308,Wilfire77,2390,Heretic: Shadow of the Serpent Riders,0.0
309,76561198042730234,9000,Wolfenstein 3D: Spear of Destiny,0.0
310,76561198069159579,9010,Return to Castle Wolfenstein,0.0
311,76561198086476445,9030,Quake Mission Pack 2: Dissolution of Eternity,0.0
312,76561198085016240,9040,Quake Mission Pack 1: Scourge of Armagon,0.0
313,76561198060808273,9050,DOOM 3,0.0
314,76561198084390807,9060,HeXen II,0.0
315,76561198003688205,9070,DOOM 3: Resurrection of Evil,0.0
316,Mastic,9160,Master Levels for DOOM II,0.0
317,Scooterinooo,9180,Commander Keen Complete Pack,0.0
318,76561198028286104,4760,Rome: Total War,51.0
319,76561198088447673,220,Half-Life 2,750.0
320,tarjla,340,Half-Life 2: Lost Coast,21.0
321,deathnz1,380,Half-Life 2: Episode One,181.0
322,readingthis4noobs,400,Portal,169.0
323,SonicMCGamer,420,Half-Life 2: Episode Two,295.0
324,xXBoss1Xx,2590,Alpha Prime,0.0
325,76561198084698198,4230,Race: The WTCC Game,0.0
326,76561198104393251,4290,RACE: Caterham Expansion,0.0
327,Borne901,12900,Audiosurf,291.0
328,76561198075322986,8600,RACE 07,0.0
329,redsncrimson,8660,GTR Evolution,0.0
330,76561198151910904,44630,RACE 07 - Formula RaceRoom Add-On,0.0
331,H1DD3NT3RR0R,15310,The Settlers: Heritage of Kings,544.0
332,76561198071214618,17100,Children of the Nile,0.0
333,76561198115115631,17120,Children of the Nile: Alexandria,8.0
334,sisiiik,21000,LEGO Batman: The Videogame,17.0
335,76561198071175142,500,Left 4 Dead,0.0
336,t8s,18500,Defense Grid: The Awakening,144.0
337,pikawuu2,17470,Dead Space,0.0
338,Sammeh00,24740,Burnout Paradise: The Ultimate Box,23.0
339,godlike_bot,27000,The Path,75.0
340,76561198044204914,22200,Zeno Clash,71.0
341,dpswaffles,23700,Puzzle Kingdoms,817.0
342,NoObFiGHtEr,1250,Killing Floor,428.0
343,Michaelele,35420,Killing Floor Mod: Defence Alliance 2,0.0
344,76561198045754869,22330,The Elder Scrolls IV: Oblivion ,230.0
345,76561198076098774,9870,Ghostbusters: The Video Game,0.0
346,76561198074963071,32370,STAR WARS™: Knights of the Old Republic™,0.0
347,76561198103253374,12830,Operation Flashpoint: Dragon Rising,0.0
348,76561198048417105,24800,Command and Conquer: Red Alert 3 - Uprising,35.0
349,76561197989175394,20900,The Witcher: Enhanced Edition,75.0
350,76561198090842891,17450,Dragon Age: Origins,0.0
351,76561198058706736,40200,ItzaBitza,0.0
352,76561198055767971,40210,ItzaZoo,0.0
353,76561197998052647,24980,Mass Effect 2,0.0
354,adohya343,46000,Bob Came in Pieces,77.0
355,76561198145436942,39900,Coniclysm,0.0
356,jjas01,33230,Assassin's Creed II,1412.0
357,3xotic26,8190,Just Cause 2,0.0
358,iamthetrashlord,46410,Avencast,0.0
359,nothingheretrustme,33220,Tom Clancy's Splinter Cell: Conviction,48.0
360,76561198071253729,3900,Sid Meier's Civilization IV,84.0
361,3dster,34440,Sid Meier's Civilization IV,0.0
362,76561198041808338,20820,Shatter,0.0
363,76561198016685643,33930,Arma 2: Operation Arrowhead,0.0
364,_za,219540,Arma 2: Operation Arrowhead Beta (Obsolete),0.0
365,76561198035588228,17410,Mirror's Edge,0.0
366,76561198079990063,48800,Ship Simulator Extremes,0.0
367,Forty-Nine,57300,Amnesia: The Dark Descent,0.0
368,76561198051017916,70100,Hacker Evolution,84.0
369,L4M1NAS,70110,Hacker Evolution - Untold,124.0
370,emurphy8,70120,Hacker Evolution Duality,0.0
371,76561198096766604,8930,Sid Meier's Civilization V,748.0
372,Sephirical,9940,Blade Kitten,224.0
373,76561197995322437,23490,Tropico 3 - Steam Special Edition,0.0
374,imsojipper,57600,Tropico 3: Absolute Power,1198.0
375,76561198066840831,60600,ProtoGalaxy,0.0
376,76561198096220900,33950,The Fish Fillets 2,0.0
377,76561198084542731,22380,Fallout: New Vegas,18.0
378,fullswag0to100realquick,12210,Grand Theft Auto IV,6.0
379,76561198061913628,12220,Grand Theft Auto: Episodes from Liberty City,0.0
380,76561198102121026,47810,Dragon Age: Origins - Ultimate Edition,41.0
381,76561198023094381,39670,Chaser,0.0
382,76561198103671881,90100,Hegemony: Philip of Macedon,0.0
383,mrpfresh,63700,BIT.TRIP BEAT,101.0
384,GamerFag,55140,MX vs. ATV Reflex,0.0
385,76561197970628046,31280,Poker Night at the Inventory,311.0
386,76561198013858002,72200,Universe Sandbox,163.0
387,76561198058570014,40800,Super Meat Boy,60.0
388,76561198045133986,48950,Greed Corp,77.0
389,CocoRichy,65070,Ride 'em Low,0.0
390,EHS-R3AP3R,4540,Titan Quest,0.0
391,76561198002820828,475150,Titan Quest Anniversary Edition,0.0
392,chidori_647,31700,Iron Grip: Warlord,0.0
393,76561198092227136,21100,F.E.A.R. 3,0.0
394,76561197975388604,42910,Magicka,205.0
395,hellcat59,92800,SpaceChem,55.0
396,76561198007584361,48210,The Settlers 7: Paths to a Kingdom - Gold Edition,22.0
397,tbimperator,91900,Post Apocalyptic Mayhem,74.0
398,Allahu_Akbar666,70000,Dino D-Day,104.0
399,ulramite,91600,Sanctum,43.0
400,76561198080534850,41740,Cargo! - The quest for gravity,0.0
401,-GM-Dragon,620,Portal 2,3464.0
402,LeoRocksAce,104200,BEEP,220.0
403,76561198054040292,22600,Worms Reloaded,0.0
404,76561198078799606,22610,Alien Breed: Impact,0.0
405,76561198155458511,20920,The Witcher 2: Assassins of Kings Enhanced Edition,1343.0
406,76561198045065985,92100,DETOUR,215.0
407,I_DID_911_JUST_SAYING,105600,Terraria,4694.0
408,76561198077035732,104600,Portal 2 - The Final Hours,46.0
409,76561198072625764,98500,Naval Warfare,0.0
410,A_Je_100,94200,Jamestown,0.0
411,imagoatieatpoo,7600,Sid Meier's Railroads!,0.0
412,750805,37100,Aztaka,0.0
413,76561198080881726,21090,F.E.A.R.,0.0
414,Thatishayden,21110,F.E.A.R.: Extraction Point,0.0
415,76561198033864626,21120,F.E.A.R.: Perseus Mandate,0.0
416,Flabbernackle,16450,F.E.A.R. 2: Project Origin,0.0
417,diabeticfuck,97000,Solar 2,0.0
418,magicalpony,39530,Painkiller: Black Edition,0.0
419,76561197962104795,3270,Painkiller Overdose,0.0
420,76561198054465623,15900,7 Wonders II,0.0
421,76561198074257942,15910,Luxor: Amun Rising,0.0
422,aaropro,15920,Luxor 2,0.0
423,Aaron_ggf,15930,Luxor 3,0.0
424,76561198074324939,15940,The Office,0.0
425,abhorence,15950,Reaxxion,0.0
426,abiam,15960,Little Farm,251.0
427,76561198037346576,15970,Luxor,0.0
428,FrankoWalker,15980,Money Tree,0.0
429,LightfootSword7,16000,Discovery! A Seek & Find Adventure,0.0
430,DaDanMan,16020,Samantha Swift and the Hidden Roses of Athena,0.0
431,SALTTHEW0UND,16030,7 Wonders: The Treasures of Seven,0.0
432,abuffalostuckinatree,16040,Luxor: Quest for the Afterlife,0.0
433,express157,16060,Samantha Swift and the Golden Touch,0.0
434,76561198070215484,32110,Luxor Mahjong,0.0
435,76561198074644990,32120,Chainz 2: Relinked,0.0
436,76561198064304806,32130,Penguins' Journey,0.0
437,3456457568,32140,Midnight Mysteries: The Edgar Allan Poe Conspiracy,0.0
438,76561198045776691,32160,Zombie Bowl-O-Rama,0.0
439,TomoeMamiewe,60340,LUXOR: 5th Passage ,0.0
440,76561198057086148,22650,Alien Breed 2: Assault,0.0
441,Acidius99,50130,Mafia II,0.0
442,76561198067150343,98800,Dungeons of Dredmor,75.0
443,acorn13,22230,Rock of Ages,75.0
444,adamcookie,34830,Sniper: Ghost Warrior,0.0
445,AddzyTheBaddzy,96100,Defy Gravity,35.0
446,mrfunkyjunkie,61100,Lucid,0.0
447,76561197997824340,32800,The Lord of the Rings: War in the North,0.0
448,76561198076154360,107100,Bastion,84.0
449,76561198055524901,65790,Arma: Cold War Assault,0.0
450,mradobe7,107200,Space Pirates and Zombies,86.0
451,zomboy151,111800,Blocks That Matter,95.0
452,76561198167207237,28050,Deus Ex: Human Revolution,2159.0
453,cancerkek,17710,Nuclear Dawn,143.0
454,matto1499,63000,HOARD,0.0
455,76561198073508075,102840,Shank 2,194.0
456,76561198074323290,55230,Saints Row: The Third,4326.0
457,76561198090899557,3830,Psychonauts,93.0
458,76561198072468669,115100,Costume Quest,101.0
459,Advancebest,80310,Gemini Rue,74.0
460,advenger95,65800,Dungeon Defenders,33.0
461,EndAtHallow,65730,Take On Helicopters,0.0
462,76561198060820384,201280,Deus Ex: Human Revolution - The Missing Link,71.0
463,76561198063624801,110800,L.A. Noire,0.0
464,aeryal,71340,Sonic Generations,0.0
465,vault_brothers,72850,The Elder Scrolls V: Skyrim,13831.0
466,After2night,48240,Anno 2070,723.0
467,76561198029090446,41070,Serious Sam 3: BFE,112.0
468,76561197968819541,61310,Fractal: Make Blooms Not War,0.0
469,76561198070263209,24480,King Arthur II - The Role-playing Wargame,0.0
470,76561198015968275,1600,Dangerous Waters,0.0
471,defender_10,205790,Dota 2 Test,0.0
472,76561198006540520,41900,The Bard's Tale,0.0
473,Agiegamma,105450,Age of Empires® III: Complete Collection,285.0
474,76561198082614708,8650,RACE 07: Andy Priaulx Crowne Plaza Raceway,0.0
475,76561198066465411,48000,LIMBO,0.0
476,Agronoth,115110,Stacking,164.0
477,UnholyFallenAngel,207170,Legend of Grimrock,0.0
478,Ricardio556,207650,A Virus Named TOM,116.0
479,madgamerzzz,108200,Ticket to Ride,0.0
480,76561198068565589,102600,Orcs Must Die!,0.0
481,SlutOnTheSpit,208600,Lunar Flight,57.0
482,76561197974897475,209610,Roller Coaster Rampage,0.0
483,WestyGaming,15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0.0
484,76561198031278382,209360,AZMD! Scorepocalypse ,0.0
485,NaruseAiria,50510,Burn Zombie Burn,0.0
486,airro,207690,Botanicula,0.0
487,76561198265081359,210150,Pole Position 2012,0.0
488,RemixEbola,207610,The Walking Dead,793.0
489,76561198046844795,205610,Port Royale 3,102.0
490,76561198067713802,205350,Mortal Kombat Kollection,0.0
491,76561198187212131,104900,ORION: Prelude,120.0
492,76561198044678148,205530,Gratuitous Tank Battles,0.0
493,rjh91,3990,Sid Meier's Civilization IV: Warlords,0.0
494,Alex680,8800,Sid Meier's Civilization IV: Beyond the Sword,0.0
495,alansiulun,16810,Sid Meier's Civilization IV: Colonization,0.0
496,whitewolfang1,34450,Sid Meier's Civilization IV: Warlords,0.0
497,Albolah,34460,Sid Meier's Civilization IV: Beyond the Sword,0.0
498,76561198003056556,211360,Offspring Fling!,136.0
499,76561198063941075,200260,Batman: Arkham City GOTY,1066.0
