,genres,app_name,title,release_date,price,id,developer
87,['Action'],ARMA: Combat Operations,ARMA: Combat Operations,2007-05-08,7.99,2780,Bohemia Interactive
88,['Action'],Desperados 2: Cooper's Revenge,Desperados 2: Cooper's Revenge,2006-05-02,9.99,9710,Spellbound
89,"['Action', 'Adventure']",Death to Spies,Death to Spies,2007-10-16,4.99,9800,Haggard Games
90,['Action'],Act of War: High Treason,Act of War: High Treason,2006-05-30,2.99,9760,Eugen Systems
91,"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,2700,"Frontier,Aspyr (Mac)"
92,['Action'],Act of War: Direct Action,Act of War: Direct Action,2005-03-14,2.99,2710,Eugen Systems
93,['Action'],Unreal 2: The Awakening,Unreal 2: The Awakening,2003-02-03,14.99,13200,"Epic Games, Inc."
94,['Action'],Unreal Gold,Unreal Gold,1998-04-30,9.99,13250,"Epic Games, Inc."
95,"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,Ninja Reflex: Steamworks Edition,2008-03-21,4.99,13000,Sanzaru Games
96,['Action'],Tom Clancy's Splinter Cell®,Tom Clancy's Splinter Cell®,2003-02-18,9.99,13560,Ubisoft
97,['Action'],Far Cry®,Far Cry®,2004-03-23,9.99,13520,Crytek Studios
98,['Action'],Unreal Tournament: Game of the Year Edition,Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,13240,"Epic Games, Inc."
99,['Action'],Tom Clancy's Rainbow Six® Vegas,Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,13540,Ubisoft Montreal
100,['Simulation'],Silent Hunter® III,Silent Hunter® III,2005-03-15,9.99,15210,Ubisoft
101,"['Casual', 'Simulation']",Virtual Villagers - The Secret City,Virtual Villagers - The Secret City,2008-05-28,9.99,16180,Last Day of Work
102,['Casual'],Mystery P.I.™ - The Vegas Heist,Mystery P.I.™ - The Vegas Heist,2008-06-04,4.99,3520,SpinTop Games
103,['Casual'],Luxor,Luxor,2008-06-10,9.99,15970,MumboJumbo
104,['Casual'],Reaxxion,Reaxxion,2008-06-10,9.99,15950,MumboJumbo
105,['Casual'],Little Farm,Little Farm,2008-06-10,9.99,15960,MumboJumbo
106,['Casual'],7 Wonders II,7 Wonders II,2008-06-10,9.99,15900,MumboJumbo
107,['Casual'],Luxor Amun Rising,Luxor Amun Rising,2005-12-08,9.99,15910,MumboJumbo
108,['Casual'],Luxor 3,Luxor 3,2007-11-13,9.99,15930,MumboJumbo
109,['Simulation'],Petz® Horsez® 2,Petz® Horsez® 2,2007-11-13,9.99,15160,Ubisoft
110,['Casual'],Luxor 2,Luxor 2,2005-12-08,9.99,15920,MumboJumbo
111,"['Action', 'Adventure']",Rayman Raving Rabbids™,Rayman Raving Rabbids™,2007-03-27,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
112,['Simulation'],Silent Hunter®: Wolves of the Pacific,Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,15200,Ubisoft Romania
113,['Simulation'],IL-2 Sturmovik: 1946,IL-2 Sturmovik: 1946,2006-12-15,9.99,15320,1C: Maddox Games
114,['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,15240,Ubisoft Romania
115,['Adventure'],Bone: Out From Boneville,Bone: Out From Boneville,2005-09-15,9.99,8310,Telltale Games
116,['Racing'],Midnight Outlaw: 6 Hours to SunUp,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,12600,"Merscom,Babylon"
117,['Adventure'],Bone: The Great Cow Race,Bone: The Great Cow Race,2006-04-12,9.99,8320,Telltale Games
118,['Racing'],Sprint Cars Road to Knoxville,Sprint Cars Road to Knoxville,2008-07-29,9.99,12590,BigAnt Studios
119,['Simulation'],Ride! Carnival Tycoon,Ride! Carnival Tycoon,2007-07-02,9.99,12560,Gabriel Entertainment
120,['Casual'],Mahjongg Investigations: Under Suspicion,Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,12540,Zemnott
121,['Adventure'],Dracula Origin,Dracula Origin,2008-05-20,9.99,11050,Frogwares
122,"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,Sherlock Holmes - Nemesis,2008-04-14,9.99,11040,Frogwares
123,"['Adventure', 'Indie']",Eternity's Child,Eternity's Child,2008-07-31,4.99,19500,"Luc Bernard,SilverSphereStudios"
124,"['Simulation', 'Strategy']",Pacific Storm Allies,Pacific Storm Allies,2007-05-25,7.99,11260,Lesta Studio
125,"['Action', 'Indie']",Tank Universal,Tank Universal,2008-08-21,4.99,19200,Dialogue Design
126,['Racing'],FlatOut: Ultimate Carnage,FlatOut: Ultimate Carnage,2008-08-19,19.99,12360,Bugbear Entertainment
127,['Adventure'],Oddworld: Abe's Exoddus®,Oddworld: Abe's Exoddus®,1998-11-17,2.99,15710,Oddworld Inhabitants
128,['Adventure'],Oddworld: Abe's Oddysee®,Oddworld: Abe's Oddysee®,1997-12-12,2.99,15700,Oddworld Inhabitants
129,['Racing'],GTR Evolution Expansion Pack for RACE 07,GTR Evolution Expansion Pack for RACE 07,2008-09-01,7.99,8660,SimBin
130,['Strategy'],X-COM: Enforcer,X-COM: Enforcer,2001-04-19,4.99,7770,"MicroProse Software, Inc"
131,['Strategy'],X-COM: Apocalypse,X-COM: Apocalypse,1997-07-15,4.99,7660,"MicroProse Software, Inc"
132,['Strategy'],X-COM: UFO Defense,X-COM: UFO Defense,1993-12-31,4.99,7760,"MicroProse Software, Inc"
133,"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,S.T.A.L.K.E.R.: Clear Sky,2008-09-15,9.99,20510,GSC Game World
134,['Action'],Crysis Warhead®,Crysis Warhead®,2008-09-17,19.99,17330,Crytek
135,['Action'],Crysis,Crysis,2007-11-13,19.99,17300,Crytek
136,['Strategy'],X-COM: Interceptor,X-COM: Interceptor,1998-06-15,4.99,7730,"MicroProse Software, Inc"
137,"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,The Witcher: Enhanced Edition Director's Cut,2008-09-16,9.99,20900,CD PROJEKT RED
138,['Indie'],Multiwinia,Multiwinia,2008-09-19,9.99,1530,Introversion Software
139,['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,2.99,8690,SimBin
140,"['Strategy', 'Simulation']",Children of the Nile: Alexandria,Children of the Nile: Alexandria,2008-08-28,2.49,17120,"Tilted Mill Entertainment, Inc."
141,['Strategy'],Sid Meier's Civilization IV: Colonization,Sid Meier's Civilization IV: Colonization,2008-09-23,19.99,16810,Firaxis Games
142,['Action'],Tom Clancy's Rainbow Six® 3 Gold,Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
143,"['Action', 'Adventure']",LEGO Batman,LEGO Batman,2008-09-29,19.99,21000,Traveller's Tales
144,"['Simulation', 'Strategy']",City Life 2008,City Life 2008,2008-07-18,9.99,4460,Monte Cristo
145,"['RPG', 'Strategy']",Hinterland,Hinterland,2008-09-30,9.99,17140,"Tilted Mill Entertainment, Inc."
146,['Action'],Brothers in Arms: Hell's Highway™,Brothers in Arms: Hell's Highway™,2008-10-08,9.99,15390,Gearbox Software
147,"['Indie', 'Casual']",Gravitron 2,Gravitron 2,2008-08-31,4.99,21300,Dark Castle Software
148,['Racing'],Xpand Rally Xtreme,Xpand Rally Xtreme,2006-12-01,4.99,3050,Techland
149,['Strategy'],Heroes of Might & Magic V: Hammers of Fate,Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,9.99,15380,Nival
150,['Action'],Brothers in Arms: Earned in Blood™,Brothers in Arms: Earned in Blood™,2005-10-04,9.99,19800,Gearbox Software
151,['Strategy'],Heroes of Might & Magic V: Tribes of the East,Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,9.99,15370,Nival
152,['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19.99,19930,Blue Byte
153,['Casual'],Brain Spa,Brain Spa,2007-09-25,9.99,15350,Ubisoft
154,['Action'],The Sum of All Fears,The Sum of All Fears,2002-05-31,9.99,19810,Red Storm Entertainment
155,['Casual'],Peggle™ Nights,Peggle™ Nights,2008-10-15,4.99,3540,"PopCap Games, Inc."
156,['Indie'],World of Goo,World of Goo,2008-10-13,9.99,22000,2D BOY
157,"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,X3: Terran Conflict,2008-10-16,15.99,2820,Egosoft
158,['Action'],Mare Nostrum,Mare Nostrum,2008-10-17,Free,1230,Sandstorm Productions
159,"['Casual', 'Indie']",Spectraball,Spectraball,2008-10-20,4.99,18300,Shorebound Studios
160,"['Indie', 'Casual', 'Sports']",Galactic Bowling,Galactic Bowling,2008-10-21,19.99,20200,Perpetual FX Creative
161,"['Action', 'Adventure']",Bully: Scholarship Edition,Bully: Scholarship Edition,2008-10-21,14.99,12200,Rockstar New England
162,['Action'],Far Cry® 2: Fortune's Edition,Far Cry® 2: Fortune's Edition,2008-10-22,9.99,19900,Ubisoft Montreal
163,"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,Space Trader: Merchant Marine,2008-10-23,4.99,11240,Meridian4
164,['Simulation'],PRR Wagon Pack 01,PRR Wagon Pack 01,2009-01-01,4.99,256522,RailSimulator.com
165,['Simulation'],"Class 421 London South East ""Jaffa Cake""","Class 421 London South East ""Jaffa Cake""",2009-01-01,4.99,275144,RailSimulator.com
166,['Simulation'],ATSF Wagon Pack 01,ATSF Wagon Pack 01,2009-01-01,4.99,256521,RailSimulator.com
167,['Simulation'],GP20 Union Pacific Add-on Livery,GP20 Union Pacific Add-on Livery,2009-01-01,4.99,222569,Reppo
168,['Simulation'],UK Van Wagon Pack,UK Van Wagon Pack,2009-01-01,4.99,256535,RailSimulator.com
169,['Simulation'],CSX SD70MAC Add-on Livery,CSX SD70MAC Add-on Livery,2009-01-01,4.99,256611,Dovetail Games
170,['Simulation'],CSX ES44AC Add-on Livery,CSX ES44AC Add-on Livery,2009-01-01,4.99,256576,Dovetail Games
171,['Action'],Saints Row 2,Saints Row 2,2009-01-28,9.99,9480,Volition
172,['Action'],Dead Space,Dead Space,2008-10-20,19.99,17470,EA Redwood Shores
173,['RPG'],Rise of the Argonauts,Rise of the Argonauts,2008-12-16,9.99,12770,Liquid Entertainment
174,"['Action', 'Adventure']",Mirror's Edge™,Mirror's Edge™,2009-01-13,19.99,17410,DICE
175,"['Indie', 'Strategy']",Defense Grid: The Awakening,Defense Grid: The Awakening,2008-12-08,9.99,18500,Hidden Path Entertainment
176,['Action'],F.E.A.R. 2: Project Origin,F.E.A.R. 2: Project Origin,2009-02-12,14.99,16450,Monolith
177,"['Strategy', 'Indie']",Harvest: Massive Encounter,Harvest: Massive Encounter,2008-03-05,7.99,15400,Oxeye Game Studio
178,"['Indie', 'Strategy']",Mayhem Intergalactic,Mayhem Intergalactic,2007-07-04,9.99,18600,Inventive Dingo
179,"['Action', 'Indie']",Larva Mortus,Larva Mortus,2009-03-19,4.99,11340,Meridian4
180,['Strategy'],Knights of Honor,Knights of Honor,2005-05-10,9.99,25830,Black Sea Studios Ltd
181,"['Action', 'Adventure', 'Strategy']",Ceville,Ceville,2009-02-27,5.99,23460,Realmforge Studios
182,['Strategy'],Empire: Total War™ - Special Forces Units & Bonus Content,Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
183,['Action'],Watchmen: The End is Nigh,Watchmen: The End is Nigh,2009-03-04,4.99,21010,Deadline Games
184,"['Action', 'Adventure', 'Indie']",Penumbra Overture,Penumbra Overture,2007-03-30,9.99,22180,Frictional Games
185,['Action'],Unreal Tournament 3 Black,Unreal Tournament 3 Black,2007-11-19,19.99,13210,"Epic Games, Inc."
186,['RPG'],Drakensang,Drakensang,2009-02-27,9.99,12640,Radon Labs
187,"['Indie', 'Simulation']",The Graveyard,The Graveyard,2008-03-21,4.99,27020,Tale of Tales
188,['Racing'],Burnout Paradise: The Ultimate Box,Burnout Paradise: The Ultimate Box,2009-02-03,19.99,24740,Criterion Games
189,"['Action', 'Indie']",The Maw,The Maw,2009-03-09,9.99,26000,Twisted Pixel Games
190,"['Action', 'Indie']",The Maw: River Redirect,The Maw: River Redirect,2009-03-16,1.25,26006,Twisted Pixel Games
191,"['Action', 'Indie']",The Maw: Brute Force,The Maw: Brute Force,2009-03-16,1.25,26005,Twisted Pixel Games
192,"['Casual', 'Indie']",Obulis,Obulis,2009-03-19,4.99,11330,IonFX
193,['Indie'],Space Giraffe,Space Giraffe,2009-03-19,9.99,27800,Llamasoft LTD
194,"['Simulation', 'Strategy']",Codename: Panzers - Cold War,Codename: Panzers - Cold War,2009-03-10,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
195,['Casual'],Escape Rosecliff Island,Escape Rosecliff Island,2009-04-15,4.99,3600,SpinTop Games
196,"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,Guild Wars Nightfall®,2006-10-27,19.99,29580,ArenaNet®
197,"['RPG', 'Massively Multiplayer']",Guild Wars,Guild Wars® Game of the Year Edition,2005-04-28,19.99,29540,ArenaNet®
198,"['RPG', 'Massively Multiplayer']",Guild Wars Factions,Guild Wars Factions®,2006-04-28,19.99,29560,ArenaNet®
199,"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,Guild Wars Trilogy,2008-09-25,29.99,29570,ArenaNet®
200,['Casual'],Puzzle Kingdoms,Puzzle Kingdoms,2009-04-16,14.99,23700,Infinite Interactive
201,['Casual'],Samantha Swift and the Golden Touch,Samantha Swift and the Golden Touch,2009-04-29,9.99,16060,MumboJumbo
202,['RPG'],Two Worlds Epic Edition,Two Worlds Epic Edition,2009-04-30,9.99,1930,Reality Pump Studios
203,['Strategy'],Helldorado,Helldorado,2009-04-30,9.99,18470,Spellbound
204,"['Action', 'Adventure', 'RPG']",X-Blades,X-Blades,2009-02-10,9.99,7510,Gaijin Entertainment
205,"['Action', 'Indie']",Zeno Clash,Zeno Clash,2009-04-21,9.99,22200,ACE Team
206,['Indie'],The Maw: Speeder Lane,The Maw: Speeder Lane,2009-04-29,1.25,26007,Twisted Pixel Games
207,"['RPG', 'Strategy']",King's Bounty: The Legend,King's Bounty: The Legend,2008-09-23,6.99,25900,1C Company
208,"['Casual', 'Simulation']",Virtual Families,Virtual Families,2009-05-06,9.99,16200,Last Day of Work
209,['Racing'],Death Track®: Resurrection,Death Track®: Resurrection,2009-05-06,2.99,7840,Sky Fallen
210,"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,Freedom Force vs. the Third Reich,2005-03-08,4.99,8890,Irrational Games
211,"['RPG', 'Strategy']",Freedom Force,Freedom Force,2002-03-26,4.99,8880,Irrational Games
212,"['Indie', 'Simulation', 'Strategy']",Light of Altair,Light of Altair,2009-06-04,14.99,34500,SaintXi
213,"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,Darkest Hour: Europe '44-'45,2009-06-09,Free,1280,Darklight Games
214,"['Action', 'Adventure']",Prototype™,Prototype™,2009-06-10,19.99,10150,Radical Entertainment
215,"['Adventure', 'Indie']",Blueberry Garden,Blueberry Garden,Jun 2009,4.99,29160,Erik Svedäng
216,['Strategy'],Port Royale 2,Port Royale 2,2004-04-30,4.99,12470,Ascaron Entertainment ltd.
217,['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,14.99,22330,Bethesda Game Studios
218,['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,14.99,22320,Bethesda Game Studios
219,['Adventure'],Ankh 2: Heart of Osiris,Ankh 2: Heart of Osiris,2007-05-18,4.99,12440,Deck 13
220,['Simulation'],Armored Fist 3,Armored Fist 3,1999-09-01,9.99,32710,NovaLogic
221,['Simulation'],MiG-29 Fulcrum,MiG-29 Fulcrum,1998-09-07,9.99,32740,NovaLogic
222,['Strategy'],BC Kings,BC Kings,2008-09-15,4.99,12460,Mascot Entertainment
223,['Action'],Call of Juarez®: Bound in Blood,Call of Juarez®: Bound in Blood,2009-06-30,9.99,21980,Techland
224,['Adventure'],Nancy Drew®: Legend of the Crystal Skull,Nancy Drew®: Legend of the Crystal Skull,2007-10-01,6.99,31860,HeR Interactive
225,['Adventure'],Nancy Drew®: The Creature of Kapu Cave,Nancy Drew®: The Creature of Kapu Cave,2006-10-01,6.99,31900,HeR Interactive
