,genres,app_name,price_x,item_id,developer,user_id,playtime_forever,recommend,sentiment_analysis,genres_encoded
9695,"Adventure, RPG",STAR WARS™ - Knights of the Old Republic™,9.99,32370,"BioWare,Aspyr (Mac)",OfficialShroomsy,5.0,True,2,183
10097,"Indie, Casual",Osmos,9.99,29180,Hemisphere Games,76561198085547365,940.0,True,2,250
10113,RPG,Fallout 2: A Post Nuclear Role Playing Game,9.99,38410,Black Isle Studios,SSAANNEESS,226.0,True,1,273
10185,Strategy,Fallout Tactics: Brotherhood of Steel,9.99,38420,14° East,76561198010398687,1482.0,True,2,287
10203,"Adventure, Indie","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",4.99,37400,Size Five Games,76561198076401190,3.0,True,1,171
10209,Action,Tom Clancy's Splinter Cell Chaos Theory®,9.99,13570,Ubisoft Montreal,76561198011337408,49.0,True,1,0
10231,"Adventure, Casual, Indie",Windosill,2.99,37600,"Vectorpark, Inc.",76561197987194204,112.0,True,2,153
10233,"Adventure, Indie",Machinarium,9.99,40700,Amanita Design,76561198067158459,54.0,True,2,171
10257,Action,Medal of Honor: Airborne,9.99,24840,EA Los Angeles,76561198065439231,18.0,True,2,0
10265,Racing,Need for Speed: Shift,19.99,24870,Slightly Mad Studios,MaZexExtr3me,1472.0,True,2,277
10266,RPG,Torchlight,14.99,41500,Runic Games,boydeer,536.0,True,1,273
10398,Strategy,Command & Conquer: Red Alert 3 - Uprising,19.99,24800,EA Los Angeles,76561198048417105,35.0,True,1,287
10440,"Action, Indie",Hammerfight,4.99,41100,Konstantin Koshutin,76561197992006072,6.0,False,2,102
10460,"Action, Indie",Serious Sam HD: The First Encounter,14.99,41000,Croteam,maxgp,369.0,True,0,102
10508,RPG,Dragon Age: Origins,19.99,17450,BioWare,76561198083226897,4431.0,True,2,273
10521,Action,Call of Duty®: Modern Warfare® 2,19.99,10180,"Infinity Ward,Aspyr (Mac)",VVillis,1886.0,True,2,0
10941,Adventure,LEGO® Star Wars™ - The Complete Saga,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)",FlandersRJ,2328.0,True,2,144
10967,RPG,Overlord™,4.99,11450,"Triumph Studios,Virtual Programming",76561198053738378,370.0,True,1,273
11036,Strategy,Command & Conquer 3: Tiberium Wars,14.99,24790,EA Los Angeles,UberScapE,2028.0,True,1,287
11068,Strategy,Command & Conquer 3: Kane's Wrath,19.99,24810,EA Los Angeles,leojv,21396.0,True,0,287
11082,"Indie, Simulation, Strategy",Gratuitous Space Battles,14.99,41800,Positech Games,76561198087407319,149.0,True,2,267
11148,Simulation,Wings of Prey,9.99,45300,Gaijin Entertainment,limaoverde,54.0,True,2,281
11153,Action,Defence Alliance 2,Free,35420,Defence Alliance Team,76561198061456632,13.0,True,2,0
11318,Action,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,19.99,32430,"LucasArts,Aspyr Studios",76561198162668758,112.0,True,2,0
11518,RPG,Fallout 3: Game of the Year Edition,19.99,22370,Bethesda Game Studios,izumireina,949.0,True,2,273
12028,Casual,Roogoo,1.99,38210,Spidermonk Entertainment,tohellyougo,22.0,True,0,190
12030,"Action, Adventure",Devil May Cry 4,19.99,45700,Capcom,76561198065821181,193.0,True,0,1
12066,"Action, Free to Play, Indie","Pirates, Vikings, and Knights II",Free,17570,Octoshark Studios,Madrake,400.0,True,2,76
12150,"Action, Indie",Serious Sam Classic: The First Encounter,9.99,41050,Croteam,AppaTheSwagBison,76.0,True,2,102
12159,"Action, RPG",Mount & Blade: Warband,19.99,48700,TaleWorlds Entertainment,KIN_OS,1024.0,True,2,130
12635,Action,Lead and Gold: Gangs of the Wild West,9.99,42120,Fatshark,76561198047688625,18.0,False,0,0
12646,Action,Grand Theft Auto: Episodes from Liberty City,19.99,12220,Rockstar North / Toronto,DeepCrysis,2842.0,True,2,0
12878,"Action, Adventure",Dark Void™ Zero,4.99,45730,Other Ocean Interactive,76561198088999681,11.0,False,2,1
12879,Indie,Fortix,0.99,45400,Nemesys Games,76561198061857771,337.0,True,2,249
12893,"Action, Casual, Indie",Beat Hazard,9.99,49600,Cold Beam Games,76561198067936203,127.0,True,2,63
12981,"Adventure, Indie",The Misadventures of P.B. Winterbottom,4.99,40930,The Odd Gentlemen,76561198006780320,13.0,True,2,171
12986,"Action, Indie",Flight of the Icarus,4.99,49800,Muse Games,OmGwTfLoLrOfLmFaO,6.0,False,2,102
12993,"Action, RPG",Alpha Protocol™,14.99,34010,Obsidian Entertainment,DeerHunter666,27.0,True,2,130
13023,Action,Alien Breed: Impact,9.99,22610,Team17 Software Ltd.,76561198017237313,33.0,True,2,0
13031,"Simulation, Strategy",SimCity™ 4 Deluxe Edition,19.99,24780,"EA - Maxis,Aspyr (Mac)",MLGamer,95.0,True,2,283
13121,"Strategy, RPG",Disciples III - Renaissance Steam Special Edition,14.99,33670,"Akella,.dat",mrpocketrat,502.0,True,2,290
13123,Action,Kane & Lynch 2: Dog Days,9.99,28000,IO Interactive,akiomio,191.0,False,0,0
13163,"Simulation, Strategy",The Guild II Renaissance,9.99,39680,Rune Forge,Bananasbananas,18.0,False,2,283
13169,Strategy,Fantasy Wars,4.99,63900,Ino-Co,76561198055590846,551.0,True,2,287
13171,Action,Mafia II,29.99,50130,"2K Czech,Feral Interactive (Mac)",76561198138053270,707.0,True,2,0
13375,Action,Burn Zombie Burn!,9.99,50510,doublesix,76561198057406795,1.0,True,2,0
13379,Simulation,Ship Simulator Extremes,19.99,48800,VStep,76561198071757033,690.0,False,2,281
13403,Strategy,Worms Reloaded,19.99,22600,Team17 Digital Ltd,76561198003183623,47.0,True,1,287
13469,"Indie, Simulation, Strategy",Making History II: The War of the World,14.99,46770,Muzzy Lane Software,agooglemail,187.0,True,2,267
13472,Strategy,Victoria II,19.99,42960,Paradox Development Studio,76561198068099381,23.0,True,0,287
13520,Adventure,Broken Sword: Director's Cut,5.99,57640,Revolution Software Ltd,Pzop,6.0,True,2,144
13524,Casual,Chime,4.99,62100,Zoë Mode,76561198062422084,50.0,True,2,190
13534,"Action, Indie",VVVVVV,4.99,70300,Terry Cavanagh,bvProblem,19.0,True,2,102
13630,"Action, Adventure, Indie",Amnesia: The Dark Descent,19.99,57300,Frictional Games,lucaswerg,12.0,True,0,28
13867,"RPG, Indie",Recettear: An Item Shop's Tale,19.99,70400,EasyGameStation,76561198102421718,537.0,True,2,274
13912,Simulation,Hacker Evolution,4.99,70100,exosyphen studios,76561198051017916,84.0,True,2,281
13924,"Casual, Indie",Faerie Solitaire,9.99,38600,Subsoap,76561198048401235,194.0,False,1,204
13948,Strategy,Sid Meier's Civilization® V,29.99,8930,"Firaxis Games,Aspyr (Mac, Linux)",CaptianAutismo,10345.0,True,2,287
15098,"Action, Indie",Serious Sam Classic: The Second Encounter,9.99,41060,Croteam,BryceStanding,25.0,True,1,102
15102,"Action, Adventure",Blade Kitten,2.99,9940,Krome Studios,Sephirical,224.0,True,1,1
15108,Action,Alien Breed 2: Assault,9.99,22650,Team17 Digital Ltd,76561198049209835,100.0,True,0,0
15120,"Action, Adventure",Darksiders™,19.99,50620,Vigil Games,76561198081962345,101.0,True,0,1
15303,Strategy,The Kings' Crusade,9.99,42920,NeoCoreGames,76561198034789211,2.0,False,0,287
15311,Action,Medal of Honor™,19.99,47790,Electronic Arts,Myther43,230.0,True,2,0
15423,"Action, Adventure",Lost Planet® 2,19.99,45750,"CAPCOM CO., LTD.",76561198035243150,99.0,True,2,1
15432,"Action, RPG",Fallout: New Vegas,9.99,22380,Obsidian Entertainment,TheDropix101,43.0,True,0,130
16537,"Action, Indie, RPG",DeathSpank,14.99,18040,Hothead Games,76561198075895633,594.0,True,0,107
16539,"Action, Indie",Shank,9.99,6120,Klei Entertainment,76561198162487321,13.0,True,0,102
16547,"Action, Adventure, Indie",The Ball,9.99,35460,Teotl Studios,76561198080803804,16.0,False,0,28
16557,Action,STAR WARS™: The Force Unleashed™ II,19.99,32500,Aspyr Studios,dogetrellmmmbaconyesplease,355.0,False,0,0
16665,"Action, Casual",Flight Control HD,4.99,62000,Firemint,MainScout,25.0,True,2,52
16668,"Action, Casual, Indie",BIT.TRIP BEAT,9.99,63700,Gaijin Games,mrpfresh,101.0,True,2,63
16683,Action,Call of Duty®: Black Ops,39.99,42700,Treyarch,kube134,966.0,True,2,0
17133,"Action, Adventure, Strategy",Oddworld: Stranger's Wrath HD,9.99,15750,Oddworld Inhabitants,76561198156338640,872.0,True,2,51
17139,Adventure,Back to the Future: The Game,19.99,31290,Telltale Games,hoot_toot,144.0,True,1,144
17166,Action,Grand Theft Auto III,9.99,12100,Rockstar Games,76561198079220364,12.0,True,1,0
17208,Action,Grand Theft Auto: San Andreas,14.99,12120,Rockstar Games,76561198082590151,94.0,True,1,0
17493,Action,Grand Theft Auto: Vice City,9.99,12110,Rockstar Games,76561198045174821,679.0,True,0,0
17565,"Action, Indie",A.R.E.S.: Extinction Agenda,4.99,92300,Extend Studio,alvincjj,22.0,True,1,102
17573,"Action, Indie, Strategy",APOX,14.99,80000,BlueGiant Interactive,76561197989039660,10.0,True,2,126
17577,Action,Dead Space™ 2,19.99,47780,Visceral Games,notbestatnothing,339.0,True,0,0
17627,"Action, Strategy, Indie, Sports",Monday Night Combat,4.99,63200,Uber Entertainment,76561198056741844,573.0,True,1,142
17651,Simulation,The Sims™ 3,19.99,47890,The Sims Studio,xargentx,895.0,True,2,281
17821,RPG,Two Worlds II HD,19.99,7520,Reality Pump Studios,tatsumaza,73.0,False,0,273
17872,"Action, Indie",BIT.TRIP RUNNER,9.99,63710,Gaijin Games,76561198042146054,20.0,True,2,102
18076,Action,Homefront,19.99,55100,"Kaos Studios,Digital Extremes",76561198039266268,51.0,True,2,0
18134,"Free to Play, Massively Multiplayer, RPG",RIFT,0,39120,Trion Worlds,76561198064404467,2401.0,True,2,237
18317,"Indie, Casual",Dinner Date,3.99,94000,Stout Games,76561198064699136,20.0,True,0,250
18323,"Action, Indie, Strategy",Anomaly: Warzone Earth,9.99,91200,11 bit studios,76561198074765837,27.0,True,0,126
18369,Strategy,Darkest Hour: A Hearts of Iron Game,9.99,73170,Martin Ivanov,76561197998726168,16.0,True,2,287
18377,"Action, Indie",Dino D-Day,9.99,70000,800 North and Digital Ranch,Allahu_Akbar666,104.0,True,1,102
18897,"Action, Adventure",Portal 2,19.99,620,Valve,Sillybaby,887.0,True,2,1
20955,"Action, Casual, Indie, Strategy",Sanctum,9.99,91600,Coffee Stain Studios,ulramite,43.0,True,1,71
21103,Strategy,Majesty 2 Collection,19.99,73020,1C:InoCo,ghostday,1.0,True,2,287
21105,"Indie, Strategy",Frozen Synapse,24.99,98200,Mode 7,76561198093112529,9.0,True,2,270
21186,"Action, Adventure",Hunted: The Demon’s Forge™,4.99,22450,inXile Entertainment,76561198040749643,69.0,True,2,1
21190,"Adventure, Casual, Indie",Hamilton's Great Adventure,9.99,42140,Fatshark,plopster1,125.0,True,2,153
21194,"Action, RPG",Dungeon Siege III,14.99,39160,Obsidian Entertainment,76561198084906493,81.0,True,2,130
21205,Action,Duke Nukem Forever,19.99,57900,Gearbox Software,Huzzahsaidso,482.0,True,2,0
21250,"Action, Free to Play",A.V.A. Alliance of Valiant Arms™,0,102700,Red Duck Inc.,sharks003,2.0,False,0,74
21298,"Free to Play, Massively Multiplayer, RPG",Champions Online,0,9880,Cryptic Studios,ashock19,77.0,False,2,237
21328,Strategy,Magic: The Gathering - Duels of the Planeswalkers 2012,19.99,49470,Stainless Games Ltd,horizon95,455.0,True,2,287
21336,"Indie, Casual",Solar 2,9.99,97000,Murudai,76561198057921996,220.0,True,2,250
21358,Action,F.E.A.R. 3,19.99,21100,Day 1 Studios,76561198041730036,267.0,False,0,0
21510,"Adventure, Casual",Puzzle Agent 2,9.99,94590,Telltale Games,76561198048923479,341.0,True,2,145
21518,"Indie, Casual",Lucid,4.99,61100,YeaBoing,76561198094237991,66.0,True,0,250
21519,"Action, Simulation, Strategy",ARMA: Cold War Assault,4.99,65790,Bohemia Interactive,76561198037519056,9.0,False,1,138
21804,"Simulation, Strategy",Tropico 4,14.99,57690,Haemimont Games,thompyawesomeness,1815.0,True,2,283
21987,"Action, Indie",EDGE,6.99,38740,Two Tribes,76561198055530804,19.0,True,0,102
22005,"Action, Indie, RPG, Strategy",Space Pirates and Zombies,9.99,107200,MinMax Games Ltd.,mradobe7,86.0,True,2,113
22055,"Adventure, Casual, Free to Play, Massively Multiplayer, Strategy",Puzzle Pirates,0,99910,Three Rings,76561198074841799,1.0,True,2,152
22059,Action,"Warhammer 40,000: Space Marine",29.99,55150,Relic,76561198057225044,66.0,True,2,0
22235,Strategy,Men of War: Vietnam,7.99,63940,1C Company,76561198050180243,134.0,False,0,287
22244,"Action, Indie",Hard Reset Extended Edition,14.99,98400,Flying Wild Hog,kapoweazel,52.0,True,2,102
22271,"Action, Indie, Racing, Strategy",Rock of Ages,9.99,22230,ACE Team,acorn13,75.0,True,0,119
22329,"Action, Massively Multiplayer, Simulation",Red Orchestra 2: Heroes of Stalingrad with Rising Storm,19.99,35450,Tripwire Interactive,76561198072186059,14194.0,True,2,129
22977,"RPG, Simulation, Strategy",Sengoku,9.99,73210,Paradox Development Studio,ag3nt,5.0,True,2,275
22982,"Action, Indie",Bunch of Heroes,4.99,111400,NGD Studios,76561198083780235,6.0,True,0,102
22989,Strategy,Supreme Commander: Forged Alliance,14.99,9420,Gas Powered Games,76561198064056486,397.0,True,2,287
23016,"Action, Adventure, Indie, RPG",The Binding of Isaac,4.99,113200,Edmund McMillen and Florian Himsl,76561198097762318,1494.0,True,2,35
23836,Strategy,Supreme Commander,14.99,9350,Gas Powered Games,67712702,211.0,True,2,287
23882,"Action, Adventure",Dead Rising 2: Off the Record,19.99,45770,Capcom Vancouver,76561198119721428,91.0,True,0,1
23930,"Adventure, Casual, RPG",Costume Quest,9.99,115100,Double Fine Productions,76561198072468669,101.0,True,2,160
23943,"Action, Indie, RPG",Serious Sam: The Random Encounter,4.99,201480,"Vlambeer,Croteam",76561198031835539,6.0,True,2,107
23950,Action,Sonic Generations Collection,19.99,71340,Devil's Details,76561198058988942,3221.0,True,2,0
24014,"Adventure, Strategy",L.A. Noire,19.99,110800,"Team Bondi,Rockstar Leeds",76561198090715178,1204.0,True,2,187
24182,"Indie, Casual",Fractal: Make Blooms Not War,6.99,61310,Cipher Prime Studios,76561198060295827,39.0,True,2,250
24184,Strategy,Real Warfare 1242,3.99,46350,Unicorn Games Studio,76561198065194867,23.0,False,2,287
24185,Strategy,Galactic Civilizations® II: Ultimate Edition,19.99,202200,Stardock Entertainment,hypertragic_THIS,7.0,True,2,287
24215,"Action, Free to Play, Massively Multiplayer",APB Reloaded,0,113400,Reloaded Productions,swagbeans,267.0,True,2,89
24953,Racing,Flatout 3: Chaos & Destruction,9.99,201510,Team 6 Studios,76561198042106502,5.0,True,0,277
24955,Action,Earth Defense Force: Insect Armageddon,9.99,23530,"Vicious Cycle Software, Inc.",seantheextraprawnsheepguy,136.0,True,2,0
24965,"Action, Simulation",X3: Albion Prelude,9.99,201310,Egosoft,Cozillaz,5957.0,True,0,137
24972,"Action, Adventure, Indie",Trine 2: Complete Story,19.99,35720,Frozenbyte,Apollopepsi,100.0,True,2,28
25215,"Action, Adventure, RPG",Fable - The Lost Chapters,9.99,204030,Lionhead Studios,Crimson065,3860.0,True,2,47
25275,"Action, Indie",Serious Sam 2,9.99,204340,Croteam,76561198070792786,5.0,True,2,102
25395,"Free to Play, Massively Multiplayer, RPG",Star Trek Online,0,9900,Cryptic Studios,snowangelsdream,19.0,True,2,237
25707,"RPG, Simulation, Strategy",Jagged Alliance - Back in Action,19.99,57740,"Coreplay GmbH,Bigmoon Studios",76561198076548816,135.0,True,0,275
25721,"Action, Casual, Indie",PixelJunk™ Eden,9.99,105800,Q-Games Ltd.,235324234732,125.0,True,1,63
25727,"Action, Casual, Indie",Titan Attacks!,9.99,203210,Puppygames,SnowDonut,75.0,True,2,63
25741,"RPG, Simulation, Strategy",Crusader Kings II,39.99,203770,Paradox Development Studio,kevinator23,18.0,True,2,275
25885,"Action, Adventure",Alan Wake,9.99,108710,Remedy Entertainment,someorangecolour,138.0,True,2,1
26014,Action,Postal III,11.99,10220,Trashmasters,excdfx,280.0,True,2,0
26026,"Action, Free to Play, Indie, Massively Multiplayer, RPG",Realm of the Mad God,0,200210,Wild Shadow Studios,somanyinstructions,99.0,True,2,79
27208,"Action, Adventure",Rayman® Origins,19.99,207490,"UBIart Montpellier,Feral Interactive (Mac)",itran1,278.0,False,0,1
27224,"Action, Indie, Strategy",Vessel,19.99,108500,Strange Loop Games,76561198089949416,15.0,True,2,126
27230,"Casual, Indie, Strategy",iBomber Defense Pacific,4.99,206690,Cobra Mobile,ohmjung,1.0,True,2,213
27232,"Adventure, Indie",Stacking,9.99,115110,Double Fine Productions,Agronoth,164.0,True,2,171
27240,"Action, Adventure, Indie",Wizorb,2.99,207420,Tribute Games Inc.,76561198059983240,111.0,True,2,28
27247,Simulation,Jane's Advanced Strike Fighters,9.99,207790,Trickstar Games,alanprais,549.0,True,2,281
27248,"Indie, Strategy",Cubemen,3.99,207250,3 Sprockets,niggerfag,1.0,True,2,270
27262,"Adventure, Indie, Strategy",Waveform,1.99,204180,Eden Industries,maxpaynepillkiller,220.0,True,2,182
27304,"Action, Adventure, Indie",Warp,9.99,102850,Trapdoor Inc.,0432-026-no,1786.0,True,2,28
27305,Racing,Ridge Racer™ Unbounded,9.99,202310,BUGBEAR,76561198054206902,223.0,True,2,277
27312,"Casual, Indie, RPG","Hack, Slash, Loot",6.99,207430,David Williamson,76561198056198006,110.0,False,2,205
27317,RPG,Risen 2: Dark Waters,9.99,40390,Piranha Bytes,assassin_warman,178.0,True,2,273
27347,Action,Binary Domain,14.99,203750,Devil's Details,76561198083915781,802.0,True,2,0
27365,Indie,Analogue: A Hate Story,9.99,209370,Love Conquers All Games,76561197975995761,513.0,True,2,249
27367,"Action, Casual, Simulation, Strategy",Toy Soldiers,9.99,98300,Signal Studios,Child_Vs_Puddle,110.0,True,2,73
27372,Action,Resident Evil: Operation Raccoon City,29.99,209100,Slant Six Games,76561198054508148,21.0,False,0,0
27384,"Action, Adventure, RPG",Ys Origin,19.99,207350,Nihon Falcom,tskhdawson,125.0,True,2,47
27391,Action,Max Payne 3,19.99,204100,Rockstar Studios,76561198056092813,140.0,True,2,0
27667,"Free to Play, Massively Multiplayer, RPG",The Lord of the Rings Online™,Play for Free!,212500,"Standing Stone Games, LLC",76561198068156317,1.0,True,1,237
27802,"Indie, Casual",Splice,9.99,209790,Cipher Prime Studios,76561198072526121,8.0,True,1,250
